Name,Rating,Cuisine,Discounts,Image URL,Link
Gohar Restaurant,4.9(2000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/zxdo/gohar-restaurant
Tarka Kitchen,4.2(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,20% off Rs.200,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/cumw/tarka-kitchen-cumw
Noor's Kitchen,4.9(19)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/cb6n/noors-kitchen-cb6n
Karachi Food,2.6(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,10% off selected items,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/dddx/karachi-food-dddx
Ikigaii_pk Bufferzone Branch,4.8(500+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Desserts,10% off selected items,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/p404/ikigaii_pk-bufferzone-branch
Barkat Kitchen,5(3000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/vilo/barkat-kitchen-vilo
Kitchen Queen,4.8(34)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 30% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/thtq/kitchen-queen-thtq
Peshawri Ice Cream Bufferzone,4.9(4000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/v0xv/peshawri-ice-cream-bufferzone
Zaiqa Kitchen c,4.6(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,10% off selected items,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/w2yd/zaiqa-kitchen-c
Ghazi Pakwan & Food Centre - M Block,4.6(2000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/w8jm/ghazi-pakwan-and-food-centre-m-block
Naz kitchen,4.7(17)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/r599/naz-kitchen-r599
Mateen Food Centre,4.7(4000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/h27x/mateen-food-centre
Craving Foods,1.6(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Chinese,"Up to 10% off, Free Delivery",https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/eb1g/craving-foods
GHAZI FOODS - N BLOCK,4.3(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/bv4n/ghazi-foods-n-block
Al Habib Restaurant,4.9(15000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/v3un/al-habib-restaurant-v3un
Pizza Spice,4.7(500+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pizza,Up to 15% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/os6c/pizza-spice
Saucy Bites,4.5(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,,"Free Delivery, Free delivery",https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/klxl/saucy-bites-klxl
Daily Delights - North Karachi,,Pakistani,10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/k9g7/daily-delights-north-karachi
Backyard Grill,4.8(2000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Burgers,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/nkw6/backyard-grill
Allah Tawakal Beef Pulao Biryani Pakwan and Sheermaal House,4.6(36)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/pl05/allah-tawakal-beef-pulao-biryani-pakwan-and-sheermaal-house
Tiffin,4.8(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/bwt6/tiffin-bwt6
Mr Samosa,4.2(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/shna/mr-samosa-shna
Al Saghir Dehli Nihari,4.7(3000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/s9s5/al-saghir-dehli-nihari
Mom's Cuisine,,,Up to 20% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/cfxe/moms-cuisine-cfxe
Quetta Muhammadi Hotel & Fast Food,4.8(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/bx5k/quetta-muhammadi-hotel-and-fast-food
Lush Crush - North Nazimabad,5(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/k3hv/lush-crush-north-nazimabad
Caesar's Pizza - North Nazimabad,4.7(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pizza,Up to 20% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/exav/caesars-pizza-north-nazimabad
